County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,166436,16.9,33111,21499,17,32,13,,16690,50480,18526,32,28127.684,28294.12,53259.52,21636.68,2020,15144,23657
Alexander,37353,20,2145,1801,17,35,18,,3476,49138,3823,35,7470.6,6350.01,13073.55,6723.54,2020,1099,4063
Alleghany,11161,27.1,174,1109,17,26,11,,1309,39735,1451,26,3024.631,1897.37,2901.86,1227.71,2020,199,924
Anson,24877,18.5,11996,1074,20,39,19,,2191,38023,2374,39,4602.245,4975.4,9702.03,4726.63,2020,979,3140
Ashe,27109,25.7,201,1406,17,26,17,,2892,41864,3155,26,6967.013,4608.53,7048.34,4608.53,2020,625,3504
Avery,17505,22.2,773,909,17,27,18,,2096,41701,2279,27,3886.11,2975.85,4726.35,3150.9,2020,32,2479
Beaufort,47079,24,11463,3769,18,39,11,,4557,46411,4972,39,11298.96,8474.22,18360.81,5178.69,2020,1842,5618
Bertie,19026,23,11554,426,20,43,20,,1676,35433,1823,43,4375.98,3805.2,8181.18,3805.2,2020,538,2220
Bladen,33190,21.8,11122,2574,19,44,19,,3913,36976,4353,44,7235.42,6306.1,14603.6,6306.1,2020,1032,3908
Brunswick,136744,31.5,13699,6664,15,29,13,,11124,60163,12208,29,43074.36,20511.6,39655.76,17776.72,2020,5942,15077
Buncombe,259103,20,15624,17326,17,22,8,,25409,53960,27360,22,51820.6,44047.51,57002.66,20728.24,2020,19050,49233
Burke,90382,20.2,6027,5648,17,36,9,,9588,44946,10260,36,18257.164,15364.94,32537.52,8134.38,2020,12331,10710
Cabarrus,211342,13.2,38046,22786,16,36,12,,16833,69297,18736,36,27897.144,33814.72,76083.12,25361.04,2020,12872,38754
Caldwell,82029,19.9,3914,4644,17,39,19,,8409,43328,9088,39,16323.771,13944.93,31991.31,15585.51,2020,14221,9982
Camden,10710,16.3,1243,317,16,32,11,,923,65955,1062,32,1745.73,1713.6,3427.2,1178.1,2020,89,1581
Carteret,69524,25,3817,2965,16,32,11,,5958,55052,6548,32,17381,11123.84,22247.68,7647.64,2020,4697,10553
Caswell,22698,21.5,7245,944,18,29,6,,1914,45517,2151,29,4880.07,4085.64,6582.42,1361.88,2020,782,2670
Catawba,158652,17.9,13454,15748,16,31,11,,15459,53738,17020,31,28398.708,25384.32,49182.12,17451.72,2020,12078,22097
Chatham,73139,24.4,8781,9011,14,24,11,,6741,73703,7746,24,17845.916,10239.46,17553.36,8045.29,2020,1527,9441
Cherokee,28383,29.6,414,936,17,27,13,,2516,41262,2758,27,8401.368,4825.11,7663.41,3689.79,2020,941,3225
Chowan,14029,24.6,4769,518,18,39,17,,1112,42618,1260,39,3451.134,2525.22,5471.31,2384.93,2020,1676,1628
Clay,11139,31.1,128,405,16,31,6,,1054,42878,1193,31,3464.229,1782.24,3453.09,668.34,2020,133,1242
Cleveland,97645,18.6,20162,3572,18,38,15,,8482,42728,9234,38,18161.97,17576.1,37105.1,14646.75,2020,7072,11921
Columbus,55655,20.1,16698,3038,19,46,19,,5581,36862,6192,46,11186.655,10574.45,25601.3,10574.45,2020,775,7014
Craven,102912,19,21460,7590,16,31,15,,7977,50748,9147,31,19553.28,16465.92,31902.72,15436.8,2020,8429,16679
Cumberland,332330,11.9,123373,39430,18,34,12,,26854,46779,29738,34,39547.27,59819.4,112992.2,39879.6,2020,40984,69050
Currituck,27072,16.2,1498,1073,15,29,9,,2453,64426,2837,29,4385.664,4060.8,7850.88,2436.48,2020,667,4267
Dare,36501,21.4,882,2666,16,23,10,,3337,64768,3715,23,7811.214,5840.16,8395.23,3650.1,2020,2527,5687
Davidson,166614,18.2,15816,12182,18,32,16,,15737,47758,17421,32,30323.748,29990.52,53316.48,26658.24,2020,10740,22109
Davie,42733,21.2,2668,2995,15,41,16,,3701,60801,4224,41,9059.396,6409.95,17520.53,6837.28,2020,1331,5311
Duplin,58856,18.7,14250,13355,21,40,21,,8300,42725,9303,40,11006.072,12359.76,23542.4,12359.76,2020,531,6130
Durham,316739,13.1,113927,43428,15,25,7,,31630,59329,34921,25,41492.809,47510.85,79184.75,22171.73,2020,19963,73343
Edgecombe,52005,19.7,29763,2482,21,38,16,,4661,38818,5021,38,10244.985,10921.05,19761.9,8320.8,2020,4395,5881
Forsyth,379099,16,97867,49428,18,33,11,,36222,50112,39719,33,60655.84,68237.82,125102.67,41700.89,2020,48861,62569
Franklin,67560,16.8,17019,5763,18,36,9,,6853,57710,7735,36,11350.08,12160.8,24321.6,6080.4,2020,1346,9452
Gaston,222846,16.1,37921,16180,17,29,11,,19932,52798,21944,29,35878.206,37883.82,64625.34,24513.06,2020,23227,33546
Gates,11573,20.2,3586,263,16,45,15,,948,51746,1081,45,2337.746,1851.68,5207.85,1735.95,2020,3,1448
Graham,8484,23.8,37,319,18,43,7,,1085,39502,1207,43,2019.192,1527.12,3648.12,593.88,2020,99,961
Granville,60115,17.1,18843,4916,17,37,11,,4796,58956,5341,37,10279.665,10219.55,22242.55,6612.65,2020,2401,8274
Greene,21012,16.6,7500,3264,20,28,12,,2545,43591,2838,28,3487.992,4202.4,5883.36,2521.44,2020,,2635
Guilford,533670,15.2,182350,43496,16,33,10,,46586,52166,51331,33,81117.84,85387.2,176111.1,53367,2020,40698,96916
Halifax,50574,20.7,26857,1551,20,44,22,,4806,36760,5310,44,10468.818,10114.8,22252.56,11126.28,2020,5133,5345
Harnett,134214,12.5,28021,17464,19,33,12,,13065,51225,14726,33,16776.75,25500.66,44290.62,16105.68,2020,4500,24351
Haywood,61971,24.6,764,2518,18,32,11,,5080,47183,5522,32,15244.866,11154.78,19830.72,6816.81,2020,4998,8693
Henderson,116748,25.8,3702,12112,14,28,10,,11803,54012,13058,28,30120.984,16344.72,32689.44,11674.8,2020,7690,16428
Hertford,23659,19.8,14256,909,19,47,22,,1851,38216,2013,47,4684.482,4495.21,11119.73,5204.98,2020,1306,2884
Hoke,54764,10.1,18457,7451,20,37,12,,6796,47892,7562,37,5531.164,10952.8,20262.68,6571.68,2020,4011,11132
Hyde,5230,20.7,1488,479,17,36,20,,504,40653,565,36,1082.61,889.1,1882.8,1046,2020,2056,711
Iredell,178435,15.9,21039,13935,15,32,12,,15399,60044,17072,32,28371.165,26765.25,57099.2,21412.2,2020,8109,28241
Jackson,43327,19.7,914,2543,18,28,8,,5115,44502,5639,28,8535.419,7798.86,12131.56,3466.16,2020,4567,5953
Johnston,202675,13.3,32092,28310,18,37,10,,20988,60296,23774,37,26955.775,36481.5,74989.75,20267.5,2020,2592,31684
Jones,9637,22.6,2864,493,19,41,30,,1049,43302,1149,41,2177.962,1831.03,3951.17,2891.1,2020,0,1155
Lee,61452,16.5,11747,12006,17,33,11,,6774,48984,7510,33,10139.58,10446.84,20279.16,6759.72,2020,2616,8754
Lenoir,55976,19.8,22909,4220,19,33,18,,5549,40433,6048,33,11083.248,10635.44,18472.08,10075.68,2020,3578,6724
Lincoln,83770,17.7,4525,5999,16,37,12,,7665,62963,8569,37,14827.29,13403.2,30994.9,10052.4,2020,3678,11167
McDowell,45507,20.5,1693,2849,19,40,13,,4179,43972,4534,40,9328.935,8646.33,18202.8,5915.91,2020,979,6234
Macon,35285,28.5,452,2541,16,29,14,,3448,46426,3855,29,10056.225,5645.6,10232.65,4939.9,2020,1084,4068
Madison,21763,22.3,312,526,17,27,7,,1825,44693,2025,27,4853.149,3699.71,5876.01,1523.41,2020,1328,2921
Martin,22671,23.1,9459,943,19,43,13,,1744,43569,1908,43,5237.001,4307.49,9748.53,2947.23,2020,336,2991
Mecklenburg,1093901,11.2,344243,148351,14,28,9,,108688,64509,120608,28,122516.912,153146.14,306292.28,98451.09,2020,50082,254460
Mitchell,15000,24.9,69,870,16,27,17,,1432,43967,1584,27,3735,2400,4050,2550,2020,,1802
Montgomery,27271,20.5,4992,4209,18,37,15,,3090,47757,3403,37,5590.555,4908.78,10090.27,4090.65,2020,160,2661
Moore,98682,23.9,11714,6709,14,26,11,,7684,59471,8782,26,23584.998,13815.48,25657.32,10855.02,2020,3678,15551
Nash,94016,18.5,38013,6658,18,42,15,,8396,50122,9242,42,17392.96,16922.88,39486.72,14102.4,2020,5440,12378
New Hanover,232274,17.7,30748,13024,16,26,8,,20401,53419,22417,26,41112.498,37163.84,60391.24,18581.92,2020,15540,43802
Northampton,19676,25.9,11189,451,19,34,22,,1485,37233,1621,34,5096.084,3738.44,6689.84,4328.72,2020,1561,1881
Onslow,197683,9.2,29184,25261,18,29,9,,12200,50531,13652,29,18186.836,35582.94,57328.07,17791.47,2020,18108,38943
Orange,146027,14,16619,12583,14,23,6,,11069,71920,12397,23,20443.78,20443.78,33586.21,8761.62,2020,11935,27905
Pamlico,12670,29.8,2382,522,16,37,16,,947,46447,1062,37,3775.66,2027.2,4687.9,2027.2,2020,310,1553
Pasquotank,39639,16.9,14194,2257,18,39,12,,3422,46355,3786,39,6698.991,7135.02,15459.21,4756.68,2020,5070,6139
Pender,62162,18,9100,4605,16,31,17,,6015,54900,6753,31,11189.16,9945.92,19270.22,10567.54,2020,1652,8400
Perquimans,13422,26.8,3055,354,17,34,17,,1069,48337,1220,34,3597.096,2281.74,4563.48,2281.74,2020,148,1613
Person,39507,19.6,10559,1757,18,29,9,,3319,50149,3687,29,7743.372,7111.26,11457.03,3555.63,2020,1710,5546
Pitt,179914,13.2,62987,11420,17,36,9,,14741,43303,16127,36,23748.648,30585.38,64769.04,16192.26,2020,5307,32908
Polk,20611,31.1,859,1248,14,33,15,,1790,50467,2028,33,6410.021,2885.54,6801.63,3091.65,2020,22,2320
Randolph,143351,17.7,8862,16774,18,32,11,,15694,48372,17605,32,25373.127,25803.18,45872.32,15768.61,2020,11931,18382
Richmond,44887,17.9,14052,3007,21,39,19,,4735,38514,5192,39,8034.773,9426.27,17505.93,8528.53,2020,2806,5336
Robeson,131831,15.2,30625,11874,24,39,17,,18325,35407,20086,39,20038.312,31639.44,51414.09,22411.27,2020,7971,15500
Rockingham,90690,20.5,16834,5661,18,36,14,,8445,41869,9335,36,18591.45,16324.2,32648.4,12696.6,2020,10865,10995
Rowan,141262,17.6,22779,12997,17,38,14,,14192,46864,15497,38,24862.112,24014.54,53679.56,19776.68,2020,14536,18876
Rutherford,66826,21.6,6424,3049,19,29,13,,6363,42831,7015,29,14434.416,12696.94,19379.54,8687.38,2020,6881,7815
Sampson,63626,17.8,16027,12993,19,35,15,,8501,42807,9568,35,11325.428,12088.94,22269.1,9543.9,2020,1473,7358
Scotland,34810,18.3,13445,1068,23,40,19,,3363,36730,3717,40,6370.23,8006.3,13924,6613.9,2020,2802,4250
Stanly,62075,18.9,6967,2710,17,28,10,,5651,51491,6259,28,11732.175,10552.75,17381,6207.5,2020,1351,8017
Stokes,45467,21.3,1744,1396,16,33,14,,4390,50826,4799,33,9684.471,7274.72,15004.11,6365.38,2020,2904,5207
Surry,71948,20.5,2632,7764,17,31,15,,7623,46342,8411,31,14749.34,12231.16,22303.88,10792.2,2020,2516,8832
Swain,14245,19.2,152,790,22,31,13,,1877,43121,2102,31,2735.04,3133.9,4415.95,1851.85,2020,91,1712
Transylvania,34215,30.5,1198,1184,16,27,10,,3208,51398,3525,27,10435.575,5474.4,9238.05,3421.5,2020,796,3725
Tyrrell,4131,19.3,1540,372,21,43,13,,414,36765,463,43,797.283,867.51,1776.33,537.03,2020,271,315
Union,235908,12.7,27539,26958,15,32,9,,18496,80428,21198,32,29960.316,35386.2,75490.56,21231.72,2020,7680,36205
Vance,44582,18.5,22523,3555,20,34,10,,3925,40263,4304,34,8247.67,8916.4,15157.88,4458.2,2020,2312,4830
Wake,1092305,11.6,218080,112797,12,25,9,,83242,80169,93958,25,126707.38,131076.6,273076.25,98307.45,2020,44234,251155
Warren,19807,25.4,10029,753,19,41,7,,2074,38430,2308,41,5030.978,3763.33,8120.87,1386.49,2020,892,1970
Washington,11859,24.4,5684,693,19,42,18,,1077,36042,1175,42,2893.596,2253.21,4980.78,2134.62,2020,1712,1180
Watauga,55945,15.8,964,2097,18,17,7,,5480,48489,5812,17,8839.31,10070.1,9510.65,3916.15,2020,1345,8387
Wayne,123248,16.4,38201,15212,18,38,17,,13746,41572,15078,38,20212.672,22184.64,46834.24,20952.16,2020,10606,18720
Wilkes,68557,21.6,2972,4637,18,43,14,,7675,44080,8366,43,14808.312,12340.26,29479.51,9597.98,2020,4177,8472
Wilson,81455,18.3,32153,8793,18,32,14,,8340,44015,9099,32,14906.265,14661.9,26065.6,11403.7,2020,901,10394
Yadkin,37543,20.2,1156,4192,18,39,11,,3844,49070,4232,39,7583.686,6757.74,14641.77,4129.73,2020,351,4758
Yancey,17903,25.7,152,976,17,30,18,,1742,44756,1928,30,4601.071,3043.51,5370.9,3222.54,2020,85,2147
